name,product_id,price,brand,age,images,color,shoes sizes
Puma Men's R78 Black Sneaker,060601ACXN1," R 1,199.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59184929.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59184929_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Blue Sneaker,060601ACVZ6," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160704.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160704_01.jpg']]",Blue,"['7', '8', '9', '10', '11', '11-']"
adidas Originals Junior Ozelia Orange Sneaker,060601ACRQ3," R 1,399.95",Adidas,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59096359.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59096359_01.jpg']]",Orange,"['3', '4', '5', '6']"
Puma Men's R78 Blue Sneaker,060601ACXN2," R 1,099.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59184956.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59184956_01.jpg']]",Blue,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Orange Sneaker,060601ACVZ5," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160677.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160677_01.jpg']]",Orange,"['7', '8', '9', '10', '11', '11-']"
Nike Men's Air Force 1 '07 LV8 White Sneaker,060601ACAD3," R 1,999.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626442.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626442_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
Puma Junior X-Ray Black Sneaker,060601ACWG8, R 999.95,Puma,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59164642.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59164642_01.jpg']]",Black,"['3', '4', '5', '6']"
Puma Junior X-Ray 2 Mid Black Sneaker,060601ACWH0," R 1,299.95",Puma,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59164646.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59164646_01.jpg']]",Black,"['3', '4', '5', '6']"
Nike Junior Air Force 1 LV8 3 Natural Sneaker,060601ACAN1," R 1,599.95",Nike,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57629633.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57629633_01.jpg']]",Natural,"['3', '4', '5', '6']"
Reebok Men's NERF Kamikaze II Low Black Sneaker,060601ACNG3," R 2,299.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015764.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015764_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
