name,product_id,price,brand,age,images,color,shoes sizes
Cl legacy - minblu/cougrn/syello,740803,1499.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2198399/original.jpg', 'http://assets.superbalistcdn.co.za/2198399/original.jpg']",Minblu/Cougrn/Syello,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
Club c 85 - white/white/neoblu,740785,1099.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2197845/original.jpg', 'http://assets.superbalistcdn.co.za/2197845/original.jpg']",white/white/neoblu,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
2341 alpina jelly - beige lt sand,705833,1499.00,SUPERGA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2240755/original.jpg', 'http://assets.superbalistcdn.co.za/2240755/original.jpg']",beige lt sand,"['UK 2.5', 'UK 3.5', 'UK 4', 'UK 5', 'UK 5.5', 'UK 6.5', 'UK 7', 'UK 8']"
Club c 85 - white/elefla/neoblu,740796,1099.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2197753/original.jpg', 'http://assets.superbalistcdn.co.za/2197753/original.jpg']",white/elefla/neoblu,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Mayze lth wn's - puma white-peyote,715750,1899.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2238564/original.jpg', 'http://assets.superbalistcdn.co.za/2238564/original.jpg']",puma white-peyote,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Suede Mayu UP women's sneakers - super lemon-marshmallow-gum 3,715755,1899.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2238576/original.jpg', 'http://assets.superbalistcdn.co.za/2238576/original.jpg']",super lemon-marshmallow-gum,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Mayze lth wn's - puma white-puma black,715749,1899.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2236658/original.jpg', 'http://assets.superbalistcdn.co.za/2236658/original.jpg']",puma white-puma black,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Jada - puma black-puma black-rose gold-lotus-puma white,715760,1199.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2236626/original.jpg', 'http://assets.superbalistcdn.co.za/2236626/original.jpg']",puma black-puma black-rose gold-lotus-puma white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
X-ray 2 square mid wtr - puma black-puma black-rose gold-whisper white,715759,1599.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2236601/original.jpg', 'http://assets.superbalistcdn.co.za/2236601/original.jpg']",puma black-puma black-rose gold-whisper white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Ua era - (classic sport) blushing bride/parisian night,687797,749.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2233333/original.jpg', 'http://assets.superbalistcdn.co.za/2233333/original.jpg']",Blushing Bride & Parisian Night,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
