name,product_id,price,brand,age,images,color,shoes sizes
Nike Air Max 1 Ultra White,6952457142421,1199,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/am1ultrawhite_s6wczz.jpg?v=1625056663', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/mhgcntfzg_joca6l.jpg?v=1625668589']",none,['Uk 6']
adidas ZX 8000 Vapour Pink,6956214059157,1999,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/rsdgfvrwtsv_js98vy.jpg?v=1625154496', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hgndthnr_frpd62.jpg?v=1625667034']",none,['Uk 12']
Nike Dunk Low Sunset Pulse (W),6959878733973,4299,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/egrthgerdt_a38n7z.jpg?v=1625312956', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hrtfdgndfgnfhn_zmzkij.jpg?v=1625666917']",none,"['Uk 5', 'Uk 6.5', 'Uk 7']"
adidas Ozweego Orchid Tint,6961591353493,2499,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/ozw_kfti3v.jpg?v=1625472768', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/bfgdnfgndsfrg_bx1uwf.jpg?v=1625666722']",none,['Uk 9']
adidas Y-3 Kusari Black,6961614225557,3499,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/adidasy3_uvz86d.jpg?v=1625473438', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/gfxbzdgdzfb_xc_xja5ag.jpg?v=1625666548']",none,['Uk 10.5']
Converse One Star Ox Golf Le Fleur TTC Quilted Velvet Barbados Cherry,5705488695445,2999,Converse,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/red_vel_y3emnq.jpg?v=1599574939', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hgurguhkgsgerjhks_agt9v9.jpg?v=1625666000']",BARBADOS CHERRY,['Uk 8']
New Balance 2002R Salehe Bembury Water Be The Guide,6962249007253,5499,New Balance,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/nb-salehebembury_mwl3nf.jpg?v=1625499894', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/ytehety_r4ft1l.jpg?v=1625665638']",none,['Uk 8']
Jordan 3 Retro A Ma Maniére (W),6962257330325,14399,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/j3-a-mamenier_cwz5hp.jpg?v=1625500465', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/iuytufk_ufpjol.jpg?v=1625659919']",none,"['Uk 6', 'Uk 8']"
Nike Dunk High First Use Red,6963254722709,3999,Nike,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/FIRST_USE_vhxlkv.jpg?v=1625561619', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rstbhrdtybgyd_ipemdr.jpg?v=1625659769', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fdsbeab_ixe3h3.jpg?v=1625659769', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jghfertjghers_eonuzf.jpg?v=1625659769']",UNIVERSITY RED/SAIL,"['Uk 7', 'Uk 8', 'Uk 9', 'Uk 10', 'Uk 11']"
Jordan Generation 23 Light Bone,6963561627797,5499,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/J23_xixnia.jpg?v=1625571507', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/stdnfgxhfhj_vszdpj.jpg?v=1625659392', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/sfdgvrsetbrs_zfxcki.jpg?v=1625659512']",none,['Uk 10']
